,Pos,Age,Starts,Player,urls,scouting_url,position_group
24,"DF,MF",23.0,4,Hamza Choudhury,https://fbref.com/en/players/7d2d3329/Hamza-Choudhury,https://fbref.com/en/players/7d2d3329/scout/365_euro/Hamza-Choudhury-Scouting-Report,Defender
25,GK,28.0,1,Danny Ward,https://fbref.com/en/players/d3ce0e89/Danny-Ward,https://fbref.com/en/players/d3ce0e89/scout/365_euro/Danny-Ward-Scouting-Report,GK
26,MF,20.0,0,Lewis Brunt,https://fbref.com/en/players/a2081c6b/Lewis-Brunt,https://fbref.com/en/players/a2081c6b/scout/365_euro/Lewis-Brunt-Scouting-Report,Central Midfielders
27,FW,19.0,0,Kasey McAteer,https://fbref.com/en/players/b2c66859/Kasey-McAteer,https://fbref.com/en/players/b2c66859/scout/365_euro/Kasey-McAteer-Scouting-Report,Forwards
28,DF,20.0,0,Vontae Daley Campbell,https://fbref.com/en/players/192d4c3d/Vontae-Daley-Campbell,https://fbref.com/en/players/192d4c3d/scout/365_euro/Vontae-Daley-Campbell-Scouting-Report,Defender
29,GK,36.0,0,Eldin Jakupovic,https://fbref.com/en/players/1148323a/Eldin-Jakupovic,https://fbref.com/en/players/1148323a/scout/365_euro/Eldin-Jakupovic-Scouting-Report,GK
30,DF,17.0,0,Benjamin Nelson,https://fbref.com/en/players/7be10897/Benjamin-Nelson,https://fbref.com/en/players/7be10897/scout/365_euro/Benjamin-Nelson-Scouting-Report,Defender
31,MF,27.0,0,Dennis Praet,https://fbref.com/en/players/86695068/Dennis-Praet,https://fbref.com/en/players/86695068/scout/365_euro/Dennis-Praet-Scouting-Report,Central Midfielders
0,DF,23.0,38,Matty Cash,https://fbref.com/en/players/2389cdc2/Matty-Cash,https://fbref.com/en/players/2389cdc2/scout/365_euro/Matty-Cash-Scouting-Report,Defender
1,GK,28.0,36,Emiliano Martinez,https://fbref.com/en/players/7956236f/Emiliano-Martinez,https://fbref.com/en/players/7956236f/scout/365_euro/Emiliano-Martinez-Scouting-Report,GK
2,DF,28.0,35,Tyrone Mings,https://fbref.com/en/players/8397a50c/Tyrone-Mings,https://fbref.com/en/players/8397a50c/scout/365_euro/Tyrone-Mings-Scouting-Report,Defender
3,MF,26.0,35,John McGinn,https://fbref.com/en/players/90f91999/John-McGinn,https://fbref.com/en/players/90f91999/scout/365_euro/John-McGinn-Scouting-Report,Central Midfielders
4,FW,25.0,33,Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,https://fbref.com/en/players/aed3a70f/scout/365_euro/Ollie-Watkins-Scouting-Report,Forwards
5,MF,23.0,31,Douglas Luiz,https://fbref.com/en/players/6f7d826d/Douglas-Luiz,https://fbref.com/en/players/6f7d826d/scout/365_euro/Douglas-Luiz-Scouting-Report,Central Midfielders
6,DF,23.0,29,Ezri Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa,https://fbref.com/en/players/0313a347/scout/365_euro/Ezri-Konsa-Scouting-Report,Defender
7,MF,20.0,29,Jacob Ramsey,https://fbref.com/en/players/1544f145/Jacob-Ramsey,https://fbref.com/en/players/1544f145/scout/365_euro/Jacob-Ramsey-Scouting-Report,Central Midfielders
8,"FW,MF",24.0,22,Emi Buendia,https://fbref.com/en/players/66b76d44/Emi-Buendia,https://fbref.com/en/players/66b76d44/scout/365_euro/Emi-Buendia-Scouting-Report,Attacking Midfielders
9,FW,29.0,22,Danny Ings,https://fbref.com/en/players/07802f7f/Danny-Ings,https://fbref.com/en/players/07802f7f/scout/365_euro/Danny-Ings-Scouting-Report,Forwards
10,DF,25.0,17,Matt Targett,https://fbref.com/en/players/e514ab62/Matt-Targett,https://fbref.com/en/players/e514ab62/scout/365_euro/Matt-Targett-Scouting-Report,Defender
11,"MF,FW",29.0,16,Philippe Coutinho,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,https://fbref.com/en/players/0ef89a37/scout/365_euro/Philippe-Coutinho-Scouting-Report,Attacking Midfielders
12,DF,28.0,16,Lucas Digne,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,https://fbref.com/en/players/1b84dbe1/scout/365_euro/Lucas-Digne-Scouting-Report,Defender
13,"DF,FW",36.0,10,Ashley Young,https://fbref.com/en/players/be927d03/Ashley-Young,https://fbref.com/en/players/be927d03/scout/365_euro/Ashley-Young-Scouting-Report,Wing-Back
14,MF,27.0,10,Marvelous Nakamba,https://fbref.com/en/players/de5b5570/Marvelous-Nakamba,https://fbref.com/en/players/de5b5570/scout/365_euro/Marvelous-Nakamba-Scouting-Report,Central Midfielders
15,DF,26.0,9,Calum Chambers,https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,https://fbref.com/en/players/dc6f5bdd/scout/365_euro/Calum-Chambers-Scouting-Report,Defender
16,"FW,MF",23.0,7,Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,https://fbref.com/en/players/3a233281/scout/365_euro/Leon-Bailey-Scouting-Report,Attacking Midfielders
17,DF,23.0,6,Axel Tuanzebe,https://fbref.com/en/players/2baec6ce/Axel-Tuanzebe,https://fbref.com/en/players/2baec6ce/scout/365_euro/Axel-Tuanzebe-Scouting-Report,Defender
18,DF,26.0,4,Kortney Hause,https://fbref.com/en/players/bf8fad51/Kortney-Hause,https://fbref.com/en/players/bf8fad51/scout/365_euro/Kortney-Hause-Scouting-Report,Defender
19,"FW,MF",26.0,4,Anwar El Ghazi,https://fbref.com/en/players/ffa90327/Anwar-El-Ghazi,https://fbref.com/en/players/ffa90327/scout/365_euro/Anwar-El-Ghazi-Scouting-Report,Attacking Midfielders
20,MF,26.0,3,Morgan Sanson,https://fbref.com/en/players/6e7f1353/Morgan-Sanson,https://fbref.com/en/players/6e7f1353/scout/365_euro/Morgan-Sanson-Scouting-Report,Central Midfielders
21,"MF,FW",17.0,2,Carney Chukwuemeka,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka,https://fbref.com/en/players/b2f9c73e/scout/365_euro/Carney-Chukwuemeka-Scouting-Report,Attacking Midfielders
22,"MF,FW",25.0,1,Bertrand Traore,https://fbref.com/en/players/c47541e0/Bertrand-Traore,https://fbref.com/en/players/c47541e0/scout/365_euro/Bertrand-Traore-Scouting-Report,Attacking Midfielders
23,MF,18.0,1,Tim Iroegbunam,https://fbref.com/en/players/84c5ceea/Tim-Iroegbunam,https://fbref.com/en/players/84c5ceea/scout/365_euro/Tim-Iroegbunam-Scouting-Report,Central Midfielders
24,GK,31.0,1,Robin Olsen,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,https://fbref.com/en/players/e7ee38c3/scout/365_euro/Robin-Olsen-Scouting-Report,GK
25,GK,28.0,1,Jed Steer,https://fbref.com/en/players/a8a3d139/Jed-Steer,https://fbref.com/en/players/a8a3d139/scout/365_euro/Jed-Steer-Scouting-Report,GK
26,"MF,FW",20.0,0,Cameron Archer,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,https://fbref.com/en/players/05e8ca6d/scout/365_euro/Cameron-Archer-Scouting-Report,Attacking Midfielders
27,FW,23.0,0,Keinan Davis,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,https://fbref.com/en/players/9deaf2c8/scout/365_euro/Keinan-Davis-Scouting-Report,Forwards
28,FW,26.0,0,Trezeguet,https://fbref.com/en/players/3ae14ed1/Trezeguet,https://fbref.com/en/players/3ae14ed1/scout/365_euro/Trezeguet-Scouting-Report,Forwards
29,FW,19.0,0,Jaden Philogene Bidace,https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace,https://fbref.com/en/players/19f4d211/scout/365_euro/Jaden-Philogene-Bidace-Scouting-Report,Forwards
30,FW,24.0,0,Wesley Moraes,https://fbref.com/en/players/bfae110f/Wesley-Moraes,https://fbref.com/en/players/bfae110f/scout/365_euro/Wesley-Moraes-Scouting-Report,Forwards
31,MF,17.0,0,Lamare Bogarde,https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde,https://fbref.com/en/players/bca5c4a7/scout/365_euro/Lamare-Bogarde-Scouting-Report,Central Midfielders
32,DF,17.0,0,Benjamin Chrisene,https://fbref.com/en/players/b17008fc/Benjamin-Chrisene,https://fbref.com/en/players/b17008fc/scout/365_euro/Benjamin-Chrisene-Scouting-Report,Defender
33,DF,16.0,0,Josh Feeney,https://fbref.com/en/players/185321d3/Josh-Feeney,https://fbref.com/en/players/185321d3/scout/365_euro/Josh-Feeney-Scouting-Report,Defender
34,"DF,MF",26.0,0,Frederic Guilbert,https://fbref.com/en/players/5d8d7454/Frederic-Guilbert,https://fbref.com/en/players/5d8d7454/scout/365_euro/Frederic-Guilbert-Scouting-Report,Defender
35,MF,30.0,0,Conor Hourihane,https://fbref.com/en/players/fcab00a0/Conor-Hourihane,https://fbref.com/en/players/fcab00a0/scout/365_euro/Conor-Hourihane-Scouting-Report,Central Midfielders
36,"DF,MF",18.0,0,Kaine Kessler,https://fbref.com/en/players/9b066938/Kaine-Kessler,https://fbref.com/en/players/9b066938/scout/365_euro/Kaine-Kessler-Scouting-Report,Defender
37,GK,18.0,0,Filip Marshall,https://fbref.com/en/players/a79abd8b/Filip-Marshall,https://fbref.com/en/players/a79abd8b/scout/365_euro/Filip-Marshall-Scouting-Report,GK
38,MF,17.0,0,Tommi OReilly,https://fbref.com/en/players/345fc437/Tommi-OReilly,https://fbref.com/en/players/345fc437/scout/365_euro/Tommi-OReilly-Scouting-Report,Central Midfielders
39,MF,18.0,0,Aaron Ramsey,https://fbref.com/en/players/e1618c22/Aaron-Ramsey,https://fbref.com/en/players/e1618c22/scout/365_euro/Aaron-Ramsey-Scouting-Report,Central Midfielders
40,GK,19.0,0,Viljami Sinisalo,https://fbref.com/en/players/a48635b8/Viljami-Sinisalo,https://fbref.com/en/players/a48635b8/scout/365_euro/Viljami-Sinisalo-Scouting-Report,GK
0,MF,31.0,36,Moussa Sissoko,https://fbref.com/en/players/2acd49b9/Moussa-Sissoko,https://fbref.com/en/players/2acd49b9/scout/365_euro/Moussa-Sissoko-Scouting-Report,Central Midfielders
1,"FW,MF",23.0,30,Emmanuel Dennis,https://fbref.com/en/players/2c44a35d/Emmanuel-Dennis,https://fbref.com/en/players/2c44a35d/scout/365_euro/Emmanuel-Dennis-Scouting-Report,Attacking Midfielders
2,DF,32.0,27,Craig Cathcart,https://fbref.com/en/players/89e4b358/Craig-Cathcart,https://fbref.com/en/players/89e4b358/scout/365_euro/Craig-Cathcart-Scouting-Report,Defender
3,FW,29.0,27,Joshua King,https://fbref.com/en/players/43458538/Joshua-King,https://fbref.com/en/players/43458538/scout/365_euro/Joshua-King-Scouting-Report,Forwards
4,GK,38.0,26,Ben Foster,https://fbref.com/en/players/d0b3ceb9/Ben-Foster,https://fbref.com/en/players/d0b3ceb9/scout/365_euro/Ben-Foster-Scouting-Report,GK
5,DF,30.0,26,Kiko Femenia,https://fbref.com/en/players/e5d01ecf/Kiko-Femenia,https://fbref.com/en/players/e5d01ecf/scout/365_euro/Kiko-Femenia-Scouting-Report,Defender
6,MF,34.0,22,Juraj Kucka,https://fbref.com/en/players/5aaef9ef/Juraj-Kucka,https://fbref.com/en/players/5aaef9ef/scout/365_euro/Juraj-Kucka-Scouting-Report,Central Midfielders
7,"FW,MF",23.0,21,Ismaila Sarr,https://fbref.com/en/players/bfdb33aa/Ismaila-Sarr,https://fbref.com/en/players/bfdb33aa/scout/365_euro/Ismaila-Sarr-Scouting-Report,Attacking Midfielders
8,MF,31.0,20,Tom Cleverley,https://fbref.com/en/players/6cdd8245/Tom-Cleverley,https://fbref.com/en/players/6cdd8245/scout/365_euro/Tom-Cleverley-Scouting-Report,Central Midfielders
9,DF,26.0,19,Samir Santos,https://fbref.com/en/players/92b4758e/Samir-Santos,https://fbref.com/en/players/92b4758e/scout/365_euro/Samir-Santos-Scouting-Report,Defender
10,DF,27.0,18,Hassane Kamara,https://fbref.com/en/players/19a12bed/Hassane-Kamara,https://fbref.com/en/players/19a12bed/scout/365_euro/Hassane-Kamara-Scouting-Report,Defender
11,MF,22.0,17,Imran Louza,https://fbref.com/en/players/e1df6989/Imran-Louza,https://fbref.com/en/players/e1df6989/scout/365_euro/Imran-Louza-Scouting-Report,Central Midfielders
12,"FW,MF",19.0,15,Joao Pedro,https://fbref.com/en/players/e8832875/Joao-Pedro,https://fbref.com/en/players/e8832875/scout/365_euro/Joao-Pedro-Scouting-Report,Attacking Midfielders
13,DF,27.0,15,William Troost Ekong,https://fbref.com/en/players/7ed4921e/William-Troost-Ekong,https://fbref.com/en/players/7ed4921e/scout/365_euro/William-Troost-Ekong-Scouting-Report,Defender
14,DF,27.0,13,Adam Masina,https://fbref.com/en/players/de0f152c/Adam-Masina,https://fbref.com/en/players/de0f152c/scout/365_euro/Adam-Masina-Scouting-Report,Defender
15,DF,30.0,12,Christian Kabasele,https://fbref.com/en/players/914ab9a1/Christian-Kabasele,https://fbref.com/en/players/914ab9a1/scout/365_euro/Christian-Kabasele-Scouting-Report,Defender
16,GK,27.0,12,Daniel Bachmann,https://fbref.com/en/players/1c0eea98/Daniel-Bachmann,https://fbref.com/en/players/1c0eea98/scout/365_euro/Daniel-Bachmann-Scouting-Report,GK
17,"FW,MF",22.0,11,Cucho,https://fbref.com/en/players/71b47ab9/Cucho,https://fbref.com/en/players/71b47ab9/scout/365_euro/Cucho-Scouting-Report,Attacking Midfielders
18,DF,20.0,9,Jeremy Ngakia,https://fbref.com/en/players/3631ad41/Jeremy-Ngakia,https://fbref.com/en/players/3631ad41/scout/365_euro/Jeremy-Ngakia-Scouting-Report,Defender
19,MF,22.0,9,Edo Kayembe,https://fbref.com/en/players/f99b71de/Edo-Kayembe,https://fbref.com/en/players/f99b71de/scout/365_euro/Edo-Kayembe-Scouting-Report,Central Midfielders
20,"MF,FW",27.0,7,Ken Sema,https://fbref.com/en/players/1770bd68/Ken-Sema,https://fbref.com/en/players/1770bd68/scout/365_euro/Ken-Sema-Scouting-Report,Attacking Midfielders
21,DF,31.0,7,Danny Rose,https://fbref.com/en/players/89d10e53/Danny-Rose,https://fbref.com/en/players/89d10e53/scout/365_euro/Danny-Rose-Scouting-Report,Defender
22,DF,24.0,5,Francisco Sierralta,https://fbref.com/en/players/0f933743/Francisco-Sierralta,https://fbref.com/en/players/0f933743/scout/365_euro/Francisco-Sierralta-Scouting-Report,Defender
23,MF,25.0,4,Oghenekaro Etebo,https://fbref.com/en/players/b579e83d/Oghenekaro-Etebo,https://fbref.com/en/players/b579e83d/scout/365_euro/Oghenekaro-Etebo-Scouting-Report,Central Midfielders
24,MF,26.0,4,Ozan Tufan,https://fbref.com/en/players/17d45fb2/Ozan-Tufan,https://fbref.com/en/players/17d45fb2/scout/365_euro/Ozan-Tufan-Scouting-Report,Central Midfielders
25,FW,23.0,2,Samuel Kalu,https://fbref.com/en/players/b8d22478/Samuel-Kalu,https://fbref.com/en/players/b8d22478/scout/365_euro/Samuel-Kalu-Scouting-Report,Forwards
26,DF,31.0,2,Nicolas Nkoulou,https://fbref.com/en/players/93cf32a8/Nicolas-Nkoulou,https://fbref.com/en/players/93cf32a8/scout/365_euro/Nicolas-Nkoulou-Scouting-Report,Defender
27,MF,31.0,2,Dan Gosling,https://fbref.com/en/players/7fec31a0/Dan-Gosling,https://fbref.com/en/players/7fec31a0/scout/365_euro/Dan-Gosling-Scouting-Report,Central Midfielders
28,FW,25.0,0,Ashley Fletcher,https://fbref.com/en/players/eeb6551f/Ashley-Fletcher,https://fbref.com/en/players/eeb6551f/scout/365_euro/Ashley-Fletcher-Scouting-Report,Forwards
29,FW,33.0,0,Troy Deeney,https://fbref.com/en/players/82e34b69/Troy-Deeney,https://fbref.com/en/players/82e34b69/scout/365_euro/Troy-Deeney-Scouting-Report,Forwards
30,GK,17.0,0,Vincent Angelini,https://fbref.com/en/players/536e58cc/Vincent-Angelini,https://fbref.com/en/players/536e58cc/scout/365_euro/Vincent-Angelini-Scouting-Report,GK
31,FW,18.0,0,Kwadwo Baah,https://fbref.com/en/players/f240e4f2/Kwadwo-Baah,https://fbref.com/en/players/f240e4f2/scout/365_euro/Kwadwo-Baah-Scouting-Report,Forwards
32,FW,16.0,0,Adrian Blake,https://fbref.com/en/players/d9a21f02/Adrian-Blake,https://fbref.com/en/players/d9a21f02/scout/365_euro/Adrian-Blake-Scouting-Report,Forwards
33,MF,18.0,0,Kamil Conteh,https://fbref.com/en/players/1d5c9842/Kamil-Conteh,https://fbref.com/en/players/1d5c9842/scout/365_euro/Kamil-Conteh-Scouting-Report,Central Midfielders
34,FW,18.0,0,Tiago Cukur,https://fbref.com/en/players/ca990d30/Tiago-Cukur,https://fbref.com/en/players/ca990d30/scout/365_euro/Tiago-Cukur-Scouting-Report,Forwards
35,GK,35.0,0,Rob Elliot,https://fbref.com/en/players/b1b25949/Rob-Elliot,https://fbref.com/en/players/b1b25949/scout/365_euro/Rob-Elliot-Scouting-Report,GK
36,FW,17.0,0,Shaqai Forde,https://fbref.com/en/players/ebeac9e5/Shaqai-Forde,https://fbref.com/en/players/ebeac9e5/scout/365_euro/Shaqai-Forde-Scouting-Report,Forwards
37,FW,16.0,0,Jack Grieves,https://fbref.com/en/players/2cf03378/Jack-Grieves,https://fbref.com/en/players/2cf03378/scout/365_euro/Jack-Grieves-Scouting-Report,Forwards
38,DF,19.0,0,James Morris,https://fbref.com/en/players/59e3e314/James-Morris,https://fbref.com/en/players/59e3e314/scout/365_euro/James-Morris-Scouting-Report,Defender
0,GK,34.0,37,Salvatore Sirigu,https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,https://fbref.com/en/players/10dc46f0/scout/365_euro/Salvatore-Sirigu-Scouting-Report,GK
1,MF,32.0,34,Milan Badelj,https://fbref.com/en/players/e8c930bb/Milan-Badelj,https://fbref.com/en/players/e8c930bb/scout/365_euro/Milan-Badelj-Scouting-Report,Central Midfielders
2,DF,22.0,27,Johan Vasquez,https://fbref.com/en/players/5eaed77a/Johan-Vasquez,https://fbref.com/en/players/5eaed77a/scout/365_euro/Johan-Vasquez-Scouting-Report,Defender
3,MF,28.0,24,Stefano Sturaro,https://fbref.com/en/players/2334478a/Stefano-Sturaro,https://fbref.com/en/players/2334478a/scout/365_euro/Stefano-Sturaro-Scouting-Report,Central Midfielders
4,DF,21.0,21,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,https://fbref.com/en/players/247ed022/scout/365_euro/Andrea-Cambiaso-Scouting-Report,Defender
5,FW,30.0,21,Mattia Destro,https://fbref.com/en/players/d7d32194/Mattia-Destro,https://fbref.com/en/players/d7d32194/scout/365_euro/Mattia-Destro-Scouting-Report,Forwards
6,"FW,MF",27.0,18,Caleb Ekuban,https://fbref.com/en/players/7afbd2c3/Caleb-Ekuban,https://fbref.com/en/players/7afbd2c3/scout/365_euro/Caleb-Ekuban-Scouting-Report,Attacking Midfielders
7,DF,34.0,18,Domenico Criscito,https://fbref.com/en/players/35dd6d80/Domenico-Criscito,https://fbref.com/en/players/35dd6d80/scout/365_euro/Domenico-Criscito-Scouting-Report,Defender
8,"FW,MF",21.0,17,Manolo Portanova,https://fbref.com/en/players/c8c0dccd/Manolo-Portanova,https://fbref.com/en/players/c8c0dccd/scout/365_euro/Manolo-Portanova-Scouting-Report,Attacking Midfielders
9,MF,19.0,16,Nicolo Rovella,https://fbref.com/en/players/e58cbfd5/Nicolo-Rovella,https://fbref.com/en/players/e58cbfd5/scout/365_euro/Nicolo-Rovella-Scouting-Report,Central Midfielders
10,DF,23.0,14,Silvan Hefti,https://fbref.com/en/players/f8342731/Silvan-Hefti,https://fbref.com/en/players/f8342731/scout/365_euro/Silvan-Hefti-Scouting-Report,Defender
11,DF,27.0,13,Mattia Bani,https://fbref.com/en/players/0821331c/Mattia-Bani,https://fbref.com/en/players/0821331c/scout/365_euro/Mattia-Bani-Scouting-Report,Defender
12,DF,21.0,13,Leo Skiri Ostigard,https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard,https://fbref.com/en/players/b35a7399/scout/365_euro/Leo-Skiri-Ostigard-Scouting-Report,Defender
13,DF,29.0,13,Nikola Maksimovic,https://fbref.com/en/players/16b9d5cf/Nikola-Maksimovic,https://fbref.com/en/players/16b9d5cf/scout/365_euro/Nikola-Maksimovic-Scouting-Report,Defender
14,MF,24.0,11,Pablo Galdames Millan,https://fbref.com/en/players/dd403465/Pablo-Galdames-Millan,https://fbref.com/en/players/dd403465/scout/365_euro/Pablo-Galdames-Millan-Scouting-Report,Central Midfielders
15,DF,22.0,11,Zinho Vanheusden,https://fbref.com/en/players/afbf187b/Zinho-Vanheusden,https://fbref.com/en/players/afbf187b/scout/365_euro/Zinho-Vanheusden-Scouting-Report,Defender
16,DF,27.0,11,Davide Biraschi,https://fbref.com/en/players/64cd167d/Davide-Biraschi,https://fbref.com/en/players/64cd167d/scout/365_euro/Davide-Biraschi-Scouting-Report,Defender
17,"FW,MF",22.0,10,Filippo Melegoni,https://fbref.com/en/players/6604165d/Filippo-Melegoni,https://fbref.com/en/players/6604165d/scout/365_euro/Filippo-Melegoni-Scouting-Report,Attacking Midfielders
18,FW,21.0,9,Kelvin Yeboah,https://fbref.com/en/players/ea0893d6/Kelvin-Yeboah,https://fbref.com/en/players/ea0893d6/scout/365_euro/Kelvin-Yeboah-Scouting-Report,Forwards
19,"MF,FW",24.0,9,Nadiem Amiri,https://fbref.com/en/players/555d5edd/Nadiem-Amiri,https://fbref.com/en/players/555d5edd/scout/365_euro/Nadiem-Amiri-Scouting-Report,Attacking Midfielders
20,"FW,MF",38.0,7,Goran Pandev,https://fbref.com/en/players/d711d04f/Goran-Pandev,https://fbref.com/en/players/d711d04f/scout/365_euro/Goran-Pandev-Scouting-Report,Attacking Midfielders
21,"MF,FW",27.0,7,Hernani,https://fbref.com/en/players/6f5ead86/Hernani,https://fbref.com/en/players/6f5ead86/scout/365_euro/Hernani-Scouting-Report,Attacking Midfielders
22,"DF,MF",20.0,6,Morten Frendrup,https://fbref.com/en/players/f4d60499/Morten-Frendrup,https://fbref.com/en/players/f4d60499/scout/365_euro/Morten-Frendrup-Scouting-Report,Defender
23,"FW,MF",24.0,6,Albert Gudmundsson,https://fbref.com/en/players/b79858d5/Albert-Gudmundsson,https://fbref.com/en/players/b79858d5/scout/365_euro/Albert-Gudmundsson-Scouting-Report,Attacking Midfielders
24,DF,24.0,6,Paolo Ghiglione,https://fbref.com/en/players/71dc23da/Paolo-Ghiglione,https://fbref.com/en/players/71dc23da/scout/365_euro/Paolo-Ghiglione-Scouting-Report,Defender
25,"DF,FW",25.0,6,Mohamed Fares,https://fbref.com/en/players/b7a5bc86/Mohamed-Fares,https://fbref.com/en/players/b7a5bc86/scout/365_euro/Mohamed-Fares-Scouting-Report,Wing-Back
26,DF,35.0,6,Andrea Masiello,https://fbref.com/en/players/e0314d87/Andrea-Masiello,https://fbref.com/en/players/e0314d87/scout/365_euro/Andrea-Masiello-Scouting-Report,Defender
27,MF,27.0,6,Abdoulaye Toure,https://fbref.com/en/players/ef7cd87a/Abdoulaye-Toure,https://fbref.com/en/players/ef7cd87a/scout/365_euro/Abdoulaye-Toure-Scouting-Report,Central Midfielders
28,"FW,MF",20.0,5,Yayah Kallon,https://fbref.com/en/players/f95f49d2/Yayah-Kallon,https://fbref.com/en/players/f95f49d2/scout/365_euro/Yayah-Kallon-Scouting-Report,Attacking Midfielders
29,DF,28.0,5,Stefano Sabelli,https://fbref.com/en/players/0ccac09c/Stefano-Sabelli,https://fbref.com/en/players/0ccac09c/scout/365_euro/Stefano-Sabelli-Scouting-Report,Defender
30,"FW,MF",21.0,4,Flavio Junior Bianchi,https://fbref.com/en/players/3ef965c1/Flavio-Junior-Bianchi,https://fbref.com/en/players/3ef965c1/scout/365_euro/Flavio-Junior-Bianchi-Scouting-Report,Attacking Midfielders
31,MF,36.0,2,Valon Behrami,https://fbref.com/en/players/d3d758d8/Valon-Behrami,https://fbref.com/en/players/d3d758d8/scout/365_euro/Valon-Behrami-Scouting-Report,Central Midfielders
32,FW,20.0,2,Roberto Piccoli,https://fbref.com/en/players/1cadaf34/Roberto-Piccoli,https://fbref.com/en/players/1cadaf34/scout/365_euro/Roberto-Piccoli-Scouting-Report,Forwards
33,FW,32.0,1,Felipe Caicedo,https://fbref.com/en/players/93b891d1/Felipe-Caicedo,https://fbref.com/en/players/93b891d1/scout/365_euro/Felipe-Caicedo-Scouting-Report,Forwards
34,GK,23.0,1,Adrian Semper,https://fbref.com/en/players/f02dde20/Adrian-Semper,https://fbref.com/en/players/f02dde20/scout/365_euro/Adrian-Semper-Scouting-Report,GK
35,DF,19.0,1,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,https://fbref.com/en/players/aded8e6f/scout/365_euro/Riccardo-Calafiori-Scouting-Report,Defender
36,FW,18.0,0,Aleksander Buksa,https://fbref.com/en/players/59f2d958/Aleksander-Buksa,https://fbref.com/en/players/59f2d958/scout/365_euro/Aleksander-Buksa-Scouting-Report,Forwards
37,DF,20.0,0,Laurens Serpe,https://fbref.com/en/players/79d60e74/Laurens-Serpe,https://fbref.com/en/players/79d60e74/scout/365_euro/Laurens-Serpe-Scouting-Report,Defender
38,FW,24.0,0,Andrea Favilli,https://fbref.com/en/players/44510fde/Andrea-Favilli,https://fbref.com/en/players/44510fde/scout/365_euro/Andrea-Favilli-Scouting-Report,Forwards
39,MF,24.0,0,Francesco Cassata,https://fbref.com/en/players/96960855/Francesco-Cassata,https://fbref.com/en/players/96960855/scout/365_euro/Francesco-Cassata-Scouting-Report,Central Midfielders
40,"FW,MF",22.0,0,Kevin Agudelo,https://fbref.com/en/players/46fa7204/Kevin-Agudelo,https://fbref.com/en/players/46fa7204/scout/365_euro/Kevin-Agudelo-Scouting-Report,Attacking Midfielders
41,GK,26.0,0,Lorenzo Andrenacci,https://fbref.com/en/players/fe471a89/Lorenzo-Andrenacci,https://fbref.com/en/players/fe471a89/scout/365_euro/Lorenzo-Andrenacci-Scouting-Report,GK
42,DF,22.0,0,Lennart Marten Czyborra,https://fbref.com/en/players/7ba1f1ef/Lennart-Marten-Czyborra,https://fbref.com/en/players/7ba1f1ef/scout/365_euro/Lennart-Marten-Czyborra-Scouting-Report,Defender
43,MF,20.0,0,Steeve Mike Ebongue,https://fbref.com/en/players/9d5ab351/Steeve-Mike-Ebongue,https://fbref.com/en/players/9d5ab351/scout/365_euro/Steeve-Mike-Ebongue-Scouting-Report,Central Midfielders
44,GK,38.0,0,Federico Marchetti,https://fbref.com/en/players/f794b426/Federico-Marchetti,https://fbref.com/en/players/f794b426/scout/365_euro/Federico-Marchetti-Scouting-Report,GK
45,GK,22.0,0,Rok Vodisek,https://fbref.com/en/players/70451f65/Rok-Vodisek,https://fbref.com/en/players/70451f65/scout/365_euro/Rok-Vodisek-Scouting-Report,GK
0,GK,34.0,37,Andrea Consigli,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,https://fbref.com/en/players/8cabdc1e/scout/365_euro/Andrea-Consigli-Scouting-Report,GK
1,DF,29.0,35,Gian Marco Ferrari,https://fbref.com/en/players/8650af85/Gian-Marco-Ferrari,https://fbref.com/en/players/8650af85/scout/365_euro/Gian-Marco-Ferrari-Scouting-Report,Defender
2,MF,21.0,35,Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,https://fbref.com/en/players/2a7d27c1/scout/365_euro/Davide-Frattesi-Scouting-Report,Central Midfielders
3,MF,23.0,33,Maxime Lopez,https://fbref.com/en/players/20094685/Maxime-Lopez,https://fbref.com/en/players/20094685/scout/365_euro/Maxime-Lopez-Scouting-Report,Central Midfielders
4,FW,26.0,33,Domenico Berardi,https://fbref.com/en/players/53a0e358/Domenico-Berardi,https://fbref.com/en/players/53a0e358/scout/365_euro/Domenico-Berardi-Scouting-Report,Forwards
