,Pos,Age,Starts,Player,urls,scouting_url,position_group
14,MF,27.0,7,Janik Haberer,https://fbref.com/en/players/70dcf94d/Janik-Haberer,https://fbref.com/en/players/70dcf94d/scout/365_euro/Janik-Haberer-Scouting-Report,Central Midfielders
15,DF,31.0,6,Jonathan Schmid,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,https://fbref.com/en/players/088ca1bd/scout/365_euro/Jonathan-Schmid-Scouting-Report,Defender
16,MF,21.0,5,Yannik Keitel,https://fbref.com/en/players/d2c580ce/Yannik-Keitel,https://fbref.com/en/players/d2c580ce/scout/365_euro/Yannik-Keitel-Scouting-Report,Central Midfielders
17,"FW,MF",32.0,3,Nils Petersen,https://fbref.com/en/players/f93e6e94/Nils-Petersen,https://fbref.com/en/players/f93e6e94/scout/365_euro/Nils-Petersen-Scouting-Report,Attacking Midfielders
18,DF,24.0,3,Keven Schlotterbeck,https://fbref.com/en/players/f6bdc830/Keven-Schlotterbeck,https://fbref.com/en/players/f6bdc830/scout/365_euro/Keven-Schlotterbeck-Scouting-Report,Defender
19,GK,27.0,2,Benjamin Uphoff,https://fbref.com/en/players/a9a6fc08/Benjamin-Uphoff,https://fbref.com/en/players/a9a6fc08/scout/365_euro/Benjamin-Uphoff-Scouting-Report,GK
20,DF,19.0,1,Kiliann Sildillia,https://fbref.com/en/players/313254a3/Kiliann-Sildillia,https://fbref.com/en/players/313254a3/scout/365_euro/Kiliann-Sildillia-Scouting-Report,Defender
21,"MF,FW",19.0,0,Noah Weisshaupt,https://fbref.com/en/players/dd676a97/Noah-Weisshaupt,https://fbref.com/en/players/dd676a97/scout/365_euro/Noah-Weisshaupt-Scouting-Report,Attacking Midfielders
22,DF,27.0,0,Dominique Heintz,https://fbref.com/en/players/699fb8db/Dominique-Heintz,https://fbref.com/en/players/699fb8db/scout/365_euro/Dominique-Heintz-Scouting-Report,Defender
23,DF,19.0,0,Hugo Siquet,https://fbref.com/en/players/c6cf860f/Hugo-Siquet,https://fbref.com/en/players/c6cf860f/scout/365_euro/Hugo-Siquet-Scouting-Report,Defender
24,MF,26.0,0,Baptiste Santamaria,https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria,https://fbref.com/en/players/5e22e2a4/scout/365_euro/Baptiste-Santamaria-Scouting-Report,Central Midfielders
25,MF,26.0,0,Vincent Vermeij,https://fbref.com/en/players/7e629adc/Vincent-Vermeij,https://fbref.com/en/players/7e629adc/scout/365_euro/Vincent-Vermeij-Scouting-Report,Central Midfielders
26,GK,19.0,0,Noah Atubolu,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,https://fbref.com/en/players/dbd1b101/scout/365_euro/Noah-Atubolu-Scouting-Report,GK
27,FW,21.0,0,Nishan Burkart,https://fbref.com/en/players/c59b67ed/Nishan-Burkart,https://fbref.com/en/players/c59b67ed/scout/365_euro/Nishan-Burkart-Scouting-Report,Forwards
28,MF,20.0,0,Yannik Engelhardt,https://fbref.com/en/players/fac66db3/Yannik-Engelhardt,https://fbref.com/en/players/fac66db3/scout/365_euro/Yannik-Engelhardt-Scouting-Report,Central Midfielders
29,DF,19.0,0,Tan Leka Schmidt,https://fbref.com/en/players/7d31f1cb/Tan-Leka-Schmidt,https://fbref.com/en/players/7d31f1cb/scout/365_euro/Tan-Leka-Schmidt-Scouting-Report,Defender
30,MF,18.0,0,Robert Wagner,https://fbref.com/en/players/e3d3fbeb/Robert-Wagner,https://fbref.com/en/players/e3d3fbeb/scout/365_euro/Robert-Wagner-Scouting-Report,Central Midfielders
0,GK,28.0,33,Stefan Ortega,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,https://fbref.com/en/players/c1242d4e/scout/365_euro/Stefan-Ortega-Scouting-Report,GK
1,DF,27.0,31,Joakim Nilsson,https://fbref.com/en/players/c562c5b4/Joakim-Nilsson,https://fbref.com/en/players/c562c5b4/scout/365_euro/Joakim-Nilsson-Scouting-Report,Defender
2,"MF,FW",25.0,30,Masaya Okugawa,https://fbref.com/en/players/63b9cc6d/Masaya-Okugawa,https://fbref.com/en/players/63b9cc6d/scout/365_euro/Masaya-Okugawa-Scouting-Report,Attacking Midfielders
3,MF,27.0,27,Alessandro Schopf,https://fbref.com/en/players/106bca06/Alessandro-Schopf,https://fbref.com/en/players/106bca06/scout/365_euro/Alessandro-Schopf-Scouting-Report,Central Midfielders
4,DF,23.0,27,Amos Pieper,https://fbref.com/en/players/526ea7cc/Amos-Pieper,https://fbref.com/en/players/526ea7cc/scout/365_euro/Amos-Pieper-Scouting-Report,Defender
5,"FW,MF",20.0,27,Patrick Wimmer,https://fbref.com/en/players/cb11b429/Patrick-Wimmer,https://fbref.com/en/players/cb11b429/scout/365_euro/Patrick-Wimmer-Scouting-Report,Attacking Midfielders
6,DF,27.0,26,Cedric Brunner,https://fbref.com/en/players/f0a37d36/Cedric-Brunner,https://fbref.com/en/players/f0a37d36/scout/365_euro/Cedric-Brunner-Scouting-Report,Defender
7,MF,29.0,23,Manuel Prietl,https://fbref.com/en/players/901c0f97/Manuel-Prietl,https://fbref.com/en/players/901c0f97/scout/365_euro/Manuel-Prietl-Scouting-Report,Central Midfielders
8,DF,26.0,20,Jacob Barrett Laursen,https://fbref.com/en/players/c0d3bd23/Jacob-Barrett-Laursen,https://fbref.com/en/players/c0d3bd23/scout/365_euro/Jacob-Barrett-Laursen-Scouting-Report,Defender
9,MF,23.0,16,Sebastian Vasiliadis,https://fbref.com/en/players/d3112d86/Sebastian-Vasiliadis,https://fbref.com/en/players/d3112d86/scout/365_euro/Sebastian-Vasiliadis-Scouting-Report,Central Midfielders
10,FW,23.0,15,Janni Serra,https://fbref.com/en/players/40b58bfc/Janni-Serra,https://fbref.com/en/players/40b58bfc/scout/365_euro/Janni-Serra-Scouting-Report,Forwards
11,FW,33.0,14,Fabian Klos,https://fbref.com/en/players/e21042ae/Fabian-Klos,https://fbref.com/en/players/e21042ae/scout/365_euro/Fabian-Klos-Scouting-Report,Forwards
12,"FW,MF",22.0,13,Robin Hack,https://fbref.com/en/players/0174ba21/Robin-Hack,https://fbref.com/en/players/0174ba21/scout/365_euro/Robin-Hack-Scouting-Report,Attacking Midfielders
13,MF,23.0,13,Fabian Kunze,https://fbref.com/en/players/d25fee56/Fabian-Kunze,https://fbref.com/en/players/d25fee56/scout/365_euro/Fabian-Kunze-Scouting-Report,Central Midfielders
14,"FW,MF",22.0,12,Florian Kruger,https://fbref.com/en/players/f9f92b5f/Florian-Kruger,https://fbref.com/en/players/f9f92b5f/scout/365_euro/Florian-Kruger-Scouting-Report,Attacking Midfielders
15,DF,22.0,12,Andres Andrade Cedeno,https://fbref.com/en/players/6ea23758/Andres-Andrade-Cedeno,https://fbref.com/en/players/6ea23758/scout/365_euro/Andres-Andrade-Cedeno-Scouting-Report,Defender
16,DF,23.0,9,Guilherme Ramos,https://fbref.com/en/players/df9c3473/Guilherme-Ramos,https://fbref.com/en/players/df9c3473/scout/365_euro/Guilherme-Ramos-Scouting-Report,Defender
17,FW,22.0,7,Bryan Lasme,https://fbref.com/en/players/ebac0ace/Bryan-Lasme,https://fbref.com/en/players/ebac0ace/scout/365_euro/Bryan-Lasme-Scouting-Report,Forwards
18,DF,23.0,7,Nathan de Medina,https://fbref.com/en/players/d686dbc0/Nathan-de-Medina,https://fbref.com/en/players/d686dbc0/scout/365_euro/Nathan-de-Medina-Scouting-Report,Defender
19,"MF,FW",34.0,4,Gonzalo Castro,https://fbref.com/en/players/68829001/Gonzalo-Castro,https://fbref.com/en/players/68829001/scout/365_euro/Gonzalo-Castro-Scouting-Report,Attacking Midfielders
20,DF,19.0,3,George Bello,https://fbref.com/en/players/aca0a525/George-Bello,https://fbref.com/en/players/aca0a525/scout/365_euro/George-Bello-Scouting-Report,Defender
21,"DF,FW",25.0,2,Edimilson Fernandes,https://fbref.com/en/players/3bb625ac/Edimilson-Fernandes,https://fbref.com/en/players/3bb625ac/scout/365_euro/Edimilson-Fernandes-Scouting-Report,Wing-Back
