,Name,URL,ratings,team_id
24,Ellis Simms,https://www.fotmob.com/players/982284/ellis-simms,6.24,8668
0,Martin Dubravka,https://www.fotmob.com/players/72241/martin-dubravka,6.4,10261
1,Mark Gillespie,https://www.fotmob.com/players/195668/mark-gillespie,,10261
2,Nick Pope,https://www.fotmob.com/players/280484/nick-pope,7.0,10261
3,Loris Karius,https://www.fotmob.com/players/287894/loris-karius,,10261
4,Daniel Burn,https://www.fotmob.com/players/188058/daniel-burn,7.05,10261
5,Fabian Schär,https://www.fotmob.com/players/189982/fabian-schr,7.46,10261
6,Kieran Trippier,https://www.fotmob.com/players/191869/kieran-trippier,7.82,10261
7,Emil Krafth,https://www.fotmob.com/players/259306/emil-krafth,,10261
8,Jamaal Lascelles,https://www.fotmob.com/players/279489/jamaal-lascelles,6.1,10261
9,Javier Manquillo,https://www.fotmob.com/players/299984/javier-manquillo,6.48,10261
10,Paul Dummett,https://www.fotmob.com/players/308932/paul-dummett,,10261
11,Matt Targett,https://www.fotmob.com/players/538112/matt-targett,6.76,10261
12,Jamal Lewis,https://www.fotmob.com/players/864983/jamal-lewis,,10261
13,Sven Botman,https://www.fotmob.com/players/956682/sven-botman,7.07,10261
14,Harrison Ashby,https://www.fotmob.com/players/1111611/harrison-ashby,,10261
15,Joelinton,https://www.fotmob.com/players/535936/joelinton,7.44,10261
16,Sean Longstaff,https://www.fotmob.com/players/820024/sean-longstaff,6.89,10261
17,Bruno Guimaraes,https://www.fotmob.com/players/850354/bruno-guimaraes,7.57,10261
18,Joseph Willock,https://www.fotmob.com/players/860975/joseph-willock,7.07,10261
19,Matthew Longstaff,https://www.fotmob.com/players/961343/matthew-longstaff,,10261
20,Matt Ritchie,https://www.fotmob.com/players/155913/matt-ritchie,6.72,10261
21,Callum Wilson,https://www.fotmob.com/players/184321/callum-wilson,6.95,10261
22,Ryan Fraser,https://www.fotmob.com/players/230916/ryan-fraser,6.46,10261
23,Miguel Almiron,https://www.fotmob.com/players/442277/miguel-almiron,7.35,10261
24,Allan Saint-Maximin,https://www.fotmob.com/players/466482/allan-saint-maximin,7.12,10261
25,Jacob Murphy,https://www.fotmob.com/players/521148/jacob-murphy,6.71,10261
26,Alexander Isak,https://www.fotmob.com/players/690107/alexander-isak,7.16,10261
27,Anthony Gordon,https://www.fotmob.com/players/906937/anthony-gordon,6.6,10261
28,Elliot Anderson,https://www.fotmob.com/players/1089691/elliot-anderson,6.24,10261
0,Bernd Leno,https://www.fotmob.com/players/215168/bernd-leno,7.02,9879
1,Marek Rodak,https://www.fotmob.com/players/605643/marek-rodak,6.3,9879
2,Cédric Soares,https://www.fotmob.com/players/160627/cdric-soares,6.64,9879
3,Shane Duffy,https://www.fotmob.com/players/174325/shane-duffy,,9879
4,Tim Ream,https://www.fotmob.com/players/198444/tim-ream,7.04,9879
5,Layvin Kurzawa,https://www.fotmob.com/players/215798/layvin-kurzawa,6.02,9879
6,Kenny Tete,https://www.fotmob.com/players/469804/kenny-tete,7.21,9879
7,Antonee Robinson,https://www.fotmob.com/players/662428/antonee-robinson,7.16,9879
8,Tosin Adarabioyo,https://www.fotmob.com/players/683402/tosin-adarabioyo,6.91,9879
9,Issa Diop,https://www.fotmob.com/players/696443/issa-diop,6.95,9879
10,Tom Cairney,https://www.fotmob.com/players/182962/tom-cairney,6.42,9879
11,Harrison Reed,https://www.fotmob.com/players/502420/harrison-reed,6.75,9879
12,Joao Palhinha,https://www.fotmob.com/players/524434/joao-palhinha,7.24,9879
13,Sasa Lukic,https://www.fotmob.com/players/556972/sasa-lukic,6.5,9879
14,Andreas Pereira,https://www.fotmob.com/players/575779/andreas-pereira,6.92,9879
15,Tyrese Francois,https://www.fotmob.com/players/894805/tyrese-francois,,9879
16,Willian,https://www.fotmob.com/players/94086/willian,7.21,9879
17,Neeskens Kebano,https://www.fotmob.com/players/240478/neeskens-kebano,6.84,9879
18,Bobby Reid,https://www.fotmob.com/players/262550/bobby-reid,6.81,9879
19,Aleksandar Mitrovic,https://www.fotmob.com/players/351860/aleksandar-mitrovic,7.07,9879
20,Harry Wilson,https://www.fotmob.com/players/494417/harry-wilson,6.7,9879
21,Daniel James,https://www.fotmob.com/players/717176/daniel-james,6.53,9879
22,Manor Solomon,https://www.fotmob.com/players/822237/manor-solomon,7.02,9879
23,Vinicius,https://www.fotmob.com/players/866201/vinicius,6.26,9879
0,Kepa Arrizabalaga,https://www.fotmob.com/players/317564/kepa-arrizabalaga,7.01,8455
1,Marcus Bettinelli,https://www.fotmob.com/players/363357/marcus-bettinelli,,8455
2,Edouard Mendy,https://www.fotmob.com/players/773229/edouard-mendy,6.4,8455
3,Gabriel Slonina,https://www.fotmob.com/players/1031220/gabriel-slonina,,8455
4,César Azpilicueta,https://www.fotmob.com/players/72541/csar-azpilicueta,6.9,8455
