,x,y,cluster,name
85,-0.5218223453441322,-0.005140759242268929,0,Magnus Knudsen
86,-0.09691258047267924,-0.23081142554153872,0,Magnus Kofod Andersen
87,-0.47092194221409156,0.41581161064930494,0,Amadou Koné
88,0.014582876244963565,0.20299140067220833,0,Manu Koné
89,-0.29338290334897155,-0.43978428929412966,0,Alex Král
90,-0.3488965966642114,0.0024376825176295716,0,Hugo Larsson
91,-0.367056508777468,0.30849862563926184,0,Roméo Lavia
92,0.036021004508658416,-0.3756337231055588,0,Johann Lepenant
93,1.100412436628086,-0.4143732974769296,1,Samuel Lino
94,-0.09726619594667171,0.7856550121212019,0,Manuel Locatelli
95,0.3307317566588782,-0.20818318764515792,1,Sandi Lovrić
96,-0.3173585846195821,-0.046382897595291545,0,Pol Lozano
